XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
3.500,2.000,0.010,-20.000,nan,6.810,-38.541,2.600,0.000,0.000,0.000,6.715,2.836,2.368,-5.659,50.254,33.958,-52.320,30.688,-1.012,-56.241,37.719,-6.652,219.316,-339.299,262.861,-2444.052,-3.360,1.801,-13.660,-181.530
3.500,2.000,0.010,-19.000,nan,6.712,-37.795,2.487,0.000,0.000,0.000,6.621,2.720,2.434,-5.631,50.829,29.595,-52.320,30.688,-1.090,-52.370,8.370,-5.206,219.316,-339.299,262.861,-2444.052,-3.683,1.801,-13.660,-187.308
3.500,2.000,0.010,-18.000,nan,6.588,-36.853,2.372,0.000,0.000,0.000,6.501,2.600,2.500,-5.594,51.499,24.509,-52.320,30.688,-1.153,-47.346,-29.733,-3.581,219.316,-339.299,262.861,-2444.052,-3.943,1.801,-13.660,-191.096
3.500,2.000,0.010,-17.000,nan,6.441,-35.742,2.256,0.000,0.000,0.000,6.359,2.479,2.565,-5.549,52.038,20.425,-52.320,30.688,-1.183,-41.222,-76.176,-1.843,219.316,-339.299,262.861,-2444.052,-4.066,1.801,-13.660,-194.336
3.500,2.000,0.010,-16.000,nan,6.276,-34.490,2.140,0.000,0.000,0.000,6.198,2.358,2.628,-5.495,52.485,17.029,-52.320,30.688,-1.193,-34.058,-130.503,-0.053,219.316,-339.299,262.861,-2444.052,-4.105,1.801,-13.660,-196.169
3.500,2.000,0.010,-15.000,nan,6.093,-33.101,2.027,0.000,0.000,0.000,6.019,2.238,2.689,-5.433,52.934,13.622,-52.320,30.688,-1.190,-25.752,-193.489,1.765,219.316,-339.299,262.861,-2444.052,-4.095,1.801,-13.660,-194.749
3.500,2.000,0.010,-14.000,nan,5.892,-31.574,1.916,0.000,0.000,0.000,5.821,2.121,2.745,-5.359,53.381,10.230,-52.320,30.688,-1.173,-16.193,-265.977,3.586,219.316,-339.299,262.861,-2444.052,-4.023,1.801,-13.660,-189.968
3.500,2.000,0.010,-13.000,nan,5.673,-29.919,1.809,0.000,0.000,0.000,5.607,2.006,2.795,-5.274,53.783,7.179,-52.320,30.688,-1.136,-5.387,-347.928,5.355,219.316,-339.299,262.861,-2444.052,-3.873,1.801,-13.660,-181.989
3.500,2.000,0.010,-12.000,nan,5.440,-28.149,1.706,0.000,0.000,0.000,5.377,1.895,2.838,-5.175,54.134,4.516,-52.320,30.688,-1.083,6.623,-438.998,7.012,219.316,-339.299,262.861,-2444.052,-3.652,1.801,-13.660,-171.241
3.500,2.000,0.010,-11.000,nan,5.192,-26.271,1.608,0.000,0.000,0.000,5.133,1.788,2.871,-5.060,54.483,1.867,-52.320,30.688,-0.970,19.847,-539.285,8.508,219.316,-339.299,262.861,-2444.052,-3.188,1.801,-13.660,-155.706
3.500,2.000,0.010,-10.000,nan,4.929,-24.278,1.516,0.000,0.000,0.000,4.874,1.687,2.890,-4.925,54.854,-0.947,-52.320,30.688,-0.898,34.379,-649.483,9.808,219.316,-339.299,262.861,-2444.052,-2.889,1.801,-13.660,-136.380
3.500,2.000,0.010,-9.000,nan,4.652,-22.173,1.429,0.000,0.000,0.000,4.599,1.591,2.891,-4.766,55.204,-3.606,-52.320,30.688,-0.766,50.511,-771.820,10.893,219.316,-339.299,262.861,-2444.052,-2.345,1.801,-13.660,-114.834
3.500,2.000,0.010,-8.000,nan,4.362,-19.974,1.350,0.000,0.000,0.000,4.312,1.501,2.872,-4.579,55.483,-5.723,-52.320,30.688,-0.508,68.633,-909.250,11.743,219.316,-339.299,262.861,-2444.052,-1.413,1.801,-13.660,-92.135
3.500,2.000,0.010,-7.000,nan,4.062,-17.701,1.278,0.000,0.000,0.000,4.015,1.419,2.829,-4.358,55.687,-7.273,-52.320,30.688,-0.435,89.126,-1064.656,12.311,219.316,-339.299,262.861,-2444.052,-0.981,1.801,-13.660,-72.094
3.500,2.000,0.010,-6.000,nan,3.756,-15.376,1.215,0.000,0.000,0.000,3.711,1.345,2.759,-4.094,55.811,-8.217,-52.320,30.688,-0.145,112.362,-1240.862,12.530,219.316,-339.299,262.861,-2444.052,0.215,1.801,-13.660,-54.293
3.500,2.000,0.010,-5.000,nan,3.445,-13.019,1.160,0.000,0.000,0.000,3.402,1.279,2.660,-3.779,55.862,-8.608,-52.320,30.688,-0.128,138.314,-1437.666,12.281,219.316,-339.299,262.861,-2444.052,0.331,1.801,-13.660,-39.800
3.500,2.000,0.010,-4.000,nan,3.131,-10.640,1.113,0.000,0.000,0.000,3.090,1.222,2.529,-3.398,55.902,-8.919,-52.320,30.688,-0.035,165.565,-1644.326,11.370,219.316,-339.299,262.861,-2444.052,0.670,1.801,-13.660,-28.425
3.500,2.000,0.010,-3.000,nan,2.814,-8.238,1.076,0.000,0.000,0.000,2.775,1.174,2.364,-2.927,55.949,-9.280,-52.320,30.688,-0.076,192.412,-1847.912,9.669,219.316,-339.299,262.861,-2444.052,0.499,1.801,-13.660,-20.402
3.500,2.000,0.010,-2.000,nan,2.495,-5.816,1.048,0.000,0.000,0.000,2.457,1.134,2.166,-2.331,55.990,-9.592,-52.320,30.688,-0.081,217.126,-2035.333,7.146,219.316,-339.299,262.861,-2444.052,0.480,1.801,-13.660,-17.435
3.500,2.000,0.010,-1.000,nan,2.173,-3.377,1.029,0.000,0.000,0.000,2.136,1.104,1.935,-1.554,56.015,-9.787,-52.320,30.688,-0.101,238.009,-2193.695,3.869,219.316,-339.299,262.861,-2444.052,0.397,1.801,-13.660,-17.183
3.500,2.000,0.010,0.000,nan,1.851,-0.929,1.019,0.000,0.000,0.000,1.814,1.083,1.675,-0.502,56.025,-9.866,-52.320,30.688,-0.098,254.658,-2319.952,0.000,219.316,-339.299,262.861,-2444.052,0.410,1.801,-13.660,-18.699
3.500,2.000,0.010,1.000,nan,1.527,1.524,1.018,0.000,0.000,0.000,1.491,1.071,1.392,0.998,56.020,-9.830,-52.320,30.688,-0.054,268.065,-2421.625,-4.297,219.316,-339.299,262.861,-2444.052,0.590,1.801,-13.660,-19.131
3.500,2.000,0.010,2.000,nan,1.204,3.976,1.026,0.000,0.000,0.000,1.167,1.068,1.093,3.303,56.000,-9.679,-52.320,30.688,-0.081,279.296,-2506.795,-8.917,219.316,-339.299,262.861,-2444.052,0.478,1.801,-13.660,-18.766
3.500,2.000,0.010,3.000,nan,0.881,6.422,1.044,0.000,0.000,0.000,0.844,1.074,0.786,7.289,55.964,-9.414,-52.320,30.688,-0.095,289.419,-2583.561,-13.815,219.316,-339.299,262.861,-2444.052,0.420,1.801,-13.660,-17.294
3.500,2.000,0.010,4.000,nan,0.560,8.857,1.070,0.000,0.000,0.000,0.522,1.089,0.480,15.813,55.914,-9.035,-52.320,30.688,-0.111,299.273,-2658.288,-18.994,219.316,-339.299,262.861,-2444.052,0.354,1.801,-13.660,-17.541
3.500,2.000,0.010,5.000,nan,0.241,11.274,1.106,0.000,0.000,0.000,0.203,1.114,0.182,46.720,55.848,-8.541,-52.320,30.688,-0.079,308.533,-2728.510,-24.426,219.316,-339.299,262.861,-2444.052,0.488,1.801,-13.660,-20.432
