XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
5.000,-4.000,0.010,-20.000,nan,1.696,-32.503,2.446,0.000,0.000,0.000,1.862,2.321,0.802,-19.169,53.788,294.719,-52.815,-237.333,-1.522,-648.601,-3928.497,-2.020,223.478,506.118,-284.928,-4323.173,84.089,-4.135,11.006,-113.329
5.000,-4.000,0.010,-19.000,nan,1.533,-32.069,2.323,0.000,0.000,0.000,1.691,2.210,0.765,-20.926,54.207,293.607,-52.815,-237.333,-1.507,-640.887,-3949.030,0.251,223.478,506.118,-284.928,-4323.173,84.707,-4.135,11.006,-115.071
5.000,-4.000,0.010,-18.000,nan,1.351,-31.586,2.202,0.000,0.000,0.000,1.501,2.102,0.714,-23.379,54.634,292.473,-52.815,-237.333,-1.521,-631.909,-3972.927,2.611,223.478,506.118,-284.928,-4323.173,84.094,-4.135,11.006,-113.542
5.000,-4.000,0.010,-17.000,nan,1.151,-31.055,2.082,0.000,0.000,0.000,1.294,1.997,0.648,-26.970,55.048,291.373,-52.815,-237.333,-1.574,-621.626,-4000.299,5.016,223.478,506.118,-284.928,-4323.173,82.294,-4.135,11.006,-108.653
5.000,-4.000,0.010,-16.000,nan,0.935,-30.480,1.966,0.000,0.000,0.000,1.070,1.896,0.564,-32.587,55.418,290.391,-52.815,-237.333,-1.671,-610.067,-4031.065,7.403,223.478,506.118,-284.928,-4323.173,78.653,-4.135,11.006,-100.123
5.000,-4.000,0.010,-15.000,nan,0.704,-29.865,1.854,0.000,0.000,0.000,0.832,1.800,0.462,-42.407,55.754,289.499,-52.815,-237.333,-1.804,-597.265,-4065.140,9.710,223.478,506.118,-284.928,-4323.173,73.568,-4.135,11.006,-87.354
5.000,-4.000,0.010,-14.000,nan,0.458,-29.210,1.746,0.000,0.000,0.000,0.579,1.710,0.339,-63.749,56.106,288.565,-52.815,-237.333,-2.071,-583.135,-4102.751,11.903,223.478,506.118,-284.928,-4323.173,66.707,-4.135,11.006,-71.321
5.000,-4.000,0.010,-13.000,nan,0.197,-28.513,1.643,0.000,0.000,0.000,0.311,1.625,0.191,-145.048,56.475,287.587,-52.815,-237.333,-2.346,-567.273,-4144.971,14.002,223.478,506.118,-284.928,-4323.173,58.223,-4.135,11.006,-49.517
5.000,-4.000,0.010,-12.000,nan,-0.080,-27.778,1.546,0.000,0.000,0.000,0.028,1.548,0.018,349.063,56.802,286.721,-52.815,-237.333,-2.564,-549.222,-4193.016,16.015,223.478,506.118,-284.928,-4323.173,47.680,-4.135,11.006,-26.768
5.000,-4.000,0.010,-11.000,nan,-0.368,-27.011,1.455,0.000,0.000,0.000,-0.265,1.477,-0.180,73.446,57.065,286.025,-52.815,-237.333,-3.153,-528.593,-4247.924,17.909,223.478,506.118,-284.928,-4323.173,34.375,-4.135,11.006,-3.765
5.000,-4.000,0.010,-10.000,nan,-0.665,-26.219,1.372,0.000,0.000,0.000,-0.568,1.415,-0.401,39.409,57.260,285.510,-52.815,-237.333,-3.329,-505.005,-4310.709,19.632,223.478,506.118,-284.928,-4323.173,21.053,-4.135,11.006,17.014
5.000,-4.000,0.010,-9.000,nan,-0.969,-25.410,1.297,0.000,0.000,0.000,-0.877,1.361,-0.644,26.213,57.383,285.185,-52.815,-237.333,-3.966,-478.753,-4380.586,21.019,223.478,506.118,-284.928,-4323.173,9.615,-4.135,11.006,35.297
5.000,-4.000,0.010,-8.000,nan,-1.277,-24.590,1.230,0.000,0.000,0.000,-1.189,1.316,-0.903,19.249,57.458,284.990,-52.816,-237.333,-4.239,-451.472,-4453.201,21.772,223.478,506.118,-284.928,-4323.173,1.847,-4.135,11.006,51.239
5.000,-4.000,0.010,-7.000,nan,-1.589,-23.760,1.172,0.000,0.000,0.000,-1.503,1.280,-1.174,14.952,57.536,284.786,-52.816,-237.333,-4.201,-424.882,-4523.976,21.678,223.478,506.118,-284.928,-4323.173,0.445,-4.135,11.006,65.004
5.000,-4.000,0.010,-6.000,nan,-1.904,-22.921,1.123,0.000,0.000,0.000,-1.821,1.253,-1.453,12.035,57.619,284.570,-52.816,-237.333,-4.114,-400.695,-4588.355,20.626,223.478,506.118,-284.928,-4323.173,0.942,-4.135,11.006,74.656
5.000,-4.000,0.010,-5.000,nan,-2.223,-22.073,1.083,0.000,0.000,0.000,-2.142,1.236,-1.734,9.930,57.690,284.384,-52.816,-237.333,-4.034,-380.510,-4642.083,18.607,223.478,506.118,-284.928,-4323.173,2.229,-4.135,11.006,80.374
5.000,-4.000,0.010,-4.000,nan,-2.544,-21.219,1.052,0.000,0.000,0.000,-2.464,1.227,-2.009,8.341,57.748,284.233,-52.816,-237.333,-4.072,-364.319,-4685.178,15.793,223.478,506.118,-284.928,-4323.173,2.106,-4.135,11.006,81.333
5.000,-4.000,0.010,-3.000,nan,-2.867,-20.360,1.030,0.000,0.000,0.000,-2.788,1.227,-2.272,7.103,57.793,284.119,-52.816,-237.333,-4.102,-351.092,-4720.386,12.401,223.478,506.118,-284.928,-4323.173,1.528,-4.135,11.006,80.405
5.000,-4.000,0.010,-2.000,nan,-3.190,-19.498,1.017,0.000,0.000,0.000,-3.112,1.237,-2.516,6.112,57.824,284.041,-52.816,-237.333,-4.178,-339.771,-4750.518,8.585,223.478,506.118,-284.928,-4323.173,1.443,-4.135,11.006,79.766
5.000,-4.000,0.010,-1.000,nan,-3.514,-18.636,1.013,0.000,0.000,0.000,-3.435,1.256,-2.736,5.303,57.841,284.000,-52.816,-237.333,-4.075,-329.293,-4778.407,4.440,223.478,506.118,-284.928,-4323.173,1.689,-4.135,11.006,80.416
5.000,-4.000,0.010,0.000,nan,-3.838,-17.774,1.018,0.000,0.000,0.000,-3.758,1.283,-2.928,4.631,57.844,283.996,-52.816,-237.333,-4.064,-319.006,-4805.790,0.000,223.478,506.118,-284.928,-4323.173,2.192,-4.135,11.006,81.568
5.000,-4.000,0.010,1.000,nan,-4.160,-16.916,1.033,0.000,0.000,0.000,-4.078,1.320,-3.089,4.066,57.833,284.028,-52.816,-237.333,-4.109,-309.410,-4831.332,-4.722,223.478,506.118,-284.928,-4323.173,1.751,-4.135,11.006,80.727
5.000,-4.000,0.010,2.000,nan,-4.481,-16.063,1.056,0.000,0.000,0.000,-4.396,1.366,-3.218,3.585,57.809,284.098,-52.816,-237.333,-4.121,-301.111,-4853.419,-9.684,223.478,506.118,-284.928,-4323.173,0.292,-4.135,11.006,75.665
5.000,-4.000,0.010,3.000,nan,-4.799,-15.216,1.089,0.000,0.000,0.000,-4.712,1.421,-3.315,3.171,57.772,284.201,-52.816,-237.333,-4.218,-294.123,-4872.021,-14.831,223.478,506.118,-284.928,-4323.173,0.636,-4.135,11.006,66.433
5.000,-4.000,0.010,4.000,nan,-5.114,-14.377,1.131,0.000,0.000,0.000,-5.023,1.485,-3.384,2.811,57.737,284.299,-52.816,-237.333,-4.066,-288.208,-4887.764,-20.126,223.478,506.118,-284.928,-4323.173,3.717,-4.135,11.006,52.774
