ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
-6.000,0.010,nan,-5.908,26.632,1.009,0.000,0.000,0.000,-5.770,1.621,-3.561,-4.508,60.237,-246.016,-51.541,233.286,-19.333,724.130,-5403.710,0.000,231.584,-1146.404,722.063,-4764.071,60.269,-6.899,82.841,246.868
-6.000,0.110,nan,-5.952,26.606,0.689,0.000,0.000,0.000,-5.847,1.308,-4.471,-4.470,60.587,-245.882,-52.031,232.745,-17.787,727.767,-5404.593,0.000,231.868,-1146.795,727.688,-4786.810,54.469,-6.963,83.614,216.576
-6.000,0.210,nan,-5.995,26.873,0.631,0.000,0.000,0.000,-5.896,1.254,-4.700,-4.483,60.920,-247.585,-52.459,235.000,-16.049,729.822,-5408.008,0.000,232.151,-1147.945,730.143,-4788.732,49.176,-7.113,85.437,183.811
-6.000,0.310,nan,-6.031,27.109,0.600,0.000,0.000,0.000,-5.935,1.227,-4.839,-4.495,61.224,-249.133,-52.798,236.976,-14.222,731.268,-5408.211,0.000,232.434,-1149.884,733.402,-4802.215,42.827,-7.240,86.986,148.993
-6.000,0.410,nan,-6.072,27.381,0.578,0.000,0.000,0.000,-5.978,1.209,-4.944,-4.510,61.579,-250.921,-53.159,239.263,-12.379,732.715,-5407.443,0.000,232.718,-1152.658,737.724,-4825.616,36.842,-7.386,88.772,113.788
-6.000,0.510,nan,-6.121,27.716,0.561,0.000,0.000,0.000,-6.029,1.197,-5.035,-4.528,62.025,-253.096,-53.582,242.109,-10.530,734.440,-5407.009,0.000,233.001,-1156.338,743.412,-4860.134,32.193,-7.570,91.034,78.495
-6.000,0.610,nan,-6.241,27.326,0.546,0.000,0.000,0.000,-6.149,1.195,-5.145,-4.379,63.384,-249.971,-54.539,238.237,-8.803,729.523,-5219.734,0.000,233.285,-1161.010,750.544,-4796.054,29.915,-7.649,92.037,44.574
-6.000,0.710,nan,-6.293,27.871,0.533,0.000,0.000,0.000,-6.203,1.188,-5.220,-4.429,63.362,-254.922,-55.453,241.999,-6.597,746.811,-5403.635,0.000,233.568,-1166.784,765.452,-4970.605,30.369,-7.721,92.930,3.060
-6.000,0.810,nan,-6.484,28.649,0.538,0.000,0.000,0.000,-6.392,1.213,-5.270,-4.419,65.158,-260.760,-57.047,247.825,-4.674,811.728,-6066.052,0.000,233.792,-1173.713,836.582,-5687.152,34.852,-8.344,100.477,-30.806
-6.000,0.910,nan,-6.704,29.643,0.699,0.000,0.000,0.000,-6.595,1.396,-4.723,-4.421,66.929,-267.924,-59.070,254.349,-3.957,890.685,-6840.150,0.000,234.631,-1180.930,920.983,-6511.815,46.367,-9.642,116.308,-36.772
-6.000,1.010,nan,-7.208,34.201,0.924,0.000,0.000,0.000,-7.072,1.672,-4.229,-4.745,71.000,-303.368,-63.721,289.329,-7.364,1105.069,-9150.302,0.000,242.023,-1186.093,1144.502,-8827.969,74.594,-13.762,168.492,65.860
-6.000,1.110,nan,-6.838,32.259,1.018,0.000,0.000,0.000,-6.694,1.727,-3.876,-4.717,67.732,-293.519,-61.511,277.786,-6.640,1007.280,-8196.423,0.000,245.152,-1202.176,1051.464,-7918.196,60.634,-10.876,133.360,38.690
-6.000,1.210,nan,-6.502,30.761,0.980,0.000,0.000,0.000,-6.364,1.654,-3.848,-4.731,64.450,-283.629,-59.232,268.067,-6.313,941.764,-8075.680,0.000,240.104,-1372.330,987.450,-8322.578,50.220,-9.154,112.301,24.329
-6.000,1.310,nan,-6.378,29.743,0.926,0.000,0.000,0.000,-6.247,1.588,-3.934,-4.663,63.038,-276.368,-58.753,261.773,-5.951,913.739,-7818.106,0.000,253.271,-1424.058,959.328,-8095.125,44.561,-7.890,96.822,10.466
-6.000,1.410,nan,-6.085,28.157,0.898,0.000,0.000,0.000,-5.957,1.529,-3.896,-4.628,60.097,-264.314,-56.767,251.447,-5.135,839.337,-7057.824,0.000,255.196,-1431.622,885.786,-7373.798,35.663,-6.190,75.975,-19.507
-6.000,1.510,nan,-5.899,26.913,0.855,0.000,0.000,0.000,-5.778,1.467,-3.939,-4.562,58.309,-253.863,-55.410,242.951,-4.763,799.214,-6647.445,0.000,256.753,-1437.739,850.215,-7025.338,31.851,-5.295,65.002,-32.644
-6.000,1.610,nan,-5.752,26.081,0.827,0.000,0.000,0.000,-5.634,1.424,-3.957,-4.534,56.861,-246.730,-54.316,237.275,-4.088,769.720,-6361.928,0.000,258.090,-1442.990,822.087,-6761.447,29.127,-4.792,58.835,-46.844
-6.000,1.710,nan,-5.635,25.435,0.809,0.000,0.000,0.000,-5.519,1.393,-3.962,-4.514,55.889,-242.307,-53.428,232.783,-3.520,747.502,-6152.322,0.000,259.284,-1447.685,801.237,-6571.824,27.056,-4.404,54.086,-58.247
-6.000,1.810,nan,-5.521,24.808,0.801,0.000,0.000,0.000,-5.408,1.374,-3.937,-4.493,54.883,-237.098,-52.603,228.813,-3.018,732.403,-6027.054,0.000,260.375,-1451.968,788.161,-6474.163,25.118,-3.999,49.110,-68.376
-6.000,1.910,nan,-5.415,24.241,0.780,0.000,0.000,0.000,-5.304,1.342,-3.953,-4.476,53.943,-232.411,-51.813,225.074,-2.582,720.971,-5944.310,0.000,261.382,-1455.927,778.415,-6414.404,23.369,-3.648,44.799,-77.231
-6.000,2.010,nan,-5.313,23.687,0.750,0.000,0.000,0.000,-5.206,1.301,-4.000,-4.458,53.136,-228.200,-51.214,221.691,-2.211,704.676,-5796.977,0.000,263.427,-1463.959,765.837,-6308.740,21.699,-3.352,41.167,-85.039
-6.000,2.110,nan,-5.174,23.041,0.722,0.000,0.000,0.000,-5.070,1.259,-4.027,-4.453,51.932,-222.731,-50.199,216.930,-1.981,681.211,-5589.504,0.000,265.452,-1471.915,745.448,-6132.631,19.816,-3.044,37.390,-91.578
-6.000,2.210,nan,-5.032,22.416,0.697,0.000,0.000,0.000,-4.932,1.219,-4.046,-4.455,50.721,-217.470,-49.143,212.278,-1.774,657.751,-5385.805,0.000,267.427,-1479.675,726.834,-5981.086,18.183,-2.773,34.053,-96.824
