ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
8.000,0.010,nan,8.186,-36.447,1.006,0.000,0.000,0.000,7.966,2.136,3.730,-4.452,72.699,-351.864,-46.783,194.121,42.425,724.591,-4206.822,0.000,243.127,-1144.162,657.136,-4747.881,-85.758,9.798,-117.654,423.503
8.000,0.110,nan,8.242,-36.441,0.688,0.000,0.000,0.000,8.066,1.828,4.412,-4.421,73.113,-353.427,-47.206,193.054,38.635,729.531,-4243.762,0.000,243.796,-1144.504,661.508,-4769.984,-77.197,9.865,-118.461,370.550
8.000,0.210,nan,8.299,-36.796,0.630,0.000,0.000,0.000,8.131,1.779,4.572,-4.434,73.629,-357.370,-47.504,194.002,34.556,731.159,-4241.326,0.000,244.465,-1145.569,662.769,-4772.015,-69.342,10.067,-120.906,313.688
8.000,0.310,nan,8.349,-37.115,0.598,0.000,0.000,0.000,8.185,1.754,4.666,-4.446,74.116,-360.852,-47.724,194.782,30.322,735.203,-4263.617,0.000,245.133,-1147.383,664.931,-4786.841,-59.863,10.242,-123.044,254.976
8.000,0.410,nan,8.406,-37.486,0.576,0.000,0.000,0.000,8.244,1.740,4.737,-4.460,74.698,-364.895,-47.957,195.744,26.058,741.314,-4303.818,0.000,245.802,-1149.990,668.228,-4812.551,-50.839,10.447,-125.554,195.986
8.000,0.510,nan,8.476,-37.946,0.559,0.000,0.000,0.000,8.316,1.733,4.798,-4.477,75.442,-369.949,-48.230,197.020,21.779,749.700,-4361.290,0.000,246.470,-1153.453,672.956,-4850.294,-43.595,10.709,-128.770,136.873
8.000,0.610,nan,8.652,-37.525,0.544,0.000,0.000,0.000,8.492,1.743,4.872,-4.337,77.285,-371.084,-49.130,192.800,17.757,770.580,-4431.229,0.000,247.139,-1157.856,678.979,-4788.600,-40.291,10.815,-130.131,81.703
8.000,0.710,nan,8.699,-38.301,0.532,0.000,0.000,0.000,8.541,1.737,4.916,-4.403,77.017,-379.029,-49.893,195.030,12.655,769.331,-4529.236,0.000,247.807,-1163.300,692.891,-4965.028,-39.623,10.827,-130.314,11.360
8.000,0.810,nan,8.969,-39.452,0.537,0.000,0.000,0.000,8.807,1.780,4.949,-4.399,80.002,-398.276,-51.215,197.895,8.285,845.509,-5281.965,0.000,248.418,-1169.851,763.058,-5685.508,-45.060,11.775,-141.789,-47.125
8.000,0.910,nan,9.278,-41.055,0.697,0.000,0.000,0.000,9.090,1.982,4.587,-4.425,83.510,-428.738,-52.760,199.085,7.151,927.549,-6113.879,0.000,249.722,-1176.944,846.183,-6514.152,-61.201,13.528,-163.181,-64.750
8.000,1.010,nan,10.045,-48.391,0.922,0.000,0.000,0.000,9.819,2.311,4.249,-4.817,93.298,-537.844,-55.590,214.641,13.795,1136.782,-8323.320,0.000,260.141,-1182.796,1056.774,-8838.078,-101.251,19.120,-234.084,50.362
8.000,1.110,nan,9.497,-45.419,1.016,0.000,0.000,0.000,9.264,2.328,3.980,-4.782,85.836,-481.420,-54.144,214.554,12.651,1037.044,-7454.940,0.000,265.361,-1196.747,954.116,-7926.910,-82.273,15.056,-184.608,29.806
8.000,1.210,nan,9.004,-43.150,0.969,0.000,0.000,0.000,8.782,2.213,3.969,-4.792,79.852,-442.879,-52.336,211.674,12.143,966.457,-7683.058,0.000,261.518,-1456.462,885.091,-7308.981,-69.194,12.617,-154.783,21.653
8.000,1.310,nan,8.799,-41.570,0.916,0.000,0.000,0.000,8.586,2.131,4.029,-4.724,76.455,-415.078,-52.242,210.308,11.566,934.442,-7489.037,0.000,276.001,-1513.358,854.423,-7054.451,-61.532,10.817,-132.746,11.749
8.000,1.410,nan,8.361,-39.128,0.887,0.000,0.000,0.000,8.156,2.042,3.993,-4.680,71.178,-374.709,-50.799,206.964,10.074,864.005,-6871.926,0.000,282.210,-1537.752,774.452,-6267.294,-49.254,8.442,-103.620,-15.523
8.000,1.510,nan,8.095,-37.289,0.846,0.000,0.000,0.000,7.898,1.965,4.021,-4.606,68.250,-349.640,-49.725,202.154,9.469,835.446,-6624.104,0.000,286.094,-1553.012,735.312,-5883.366,-43.863,7.219,-88.619,-25.476
8.000,1.610,nan,7.889,-36.070,0.820,0.000,0.000,0.000,7.698,1.910,4.030,-4.573,66.103,-333.652,-48.801,198.659,8.276,809.742,-6400.248,0.000,289.035,-1564.565,704.721,-5594.951,-40.400,6.532,-80.203,-41.322
8.000,1.710,nan,7.735,-35.192,0.803,0.000,0.000,0.000,7.548,1.872,4.033,-4.550,64.802,-323.639,-48.106,196.289,7.265,791.582,-6250.080,0.000,291.838,-1575.578,682.123,-5385.964,-37.830,6.004,-73.724,-54.102
8.000,1.810,nan,7.584,-34.302,0.796,0.000,0.000,0.000,7.400,1.844,4.013,-4.523,63.559,-313.981,-47.443,194.054,6.375,779.980,-6194.031,0.000,294.540,-1586.192,667.275,-5268.788,-35.623,5.453,-66.971,-65.247
8.000,1.910,nan,7.443,-33.494,0.776,0.000,0.000,0.000,7.263,1.804,4.025,-4.500,62.299,-303.668,-46.794,191.802,5.581,770.509,-6165.451,0.000,297.161,-1596.491,655.736,-5189.412,-33.284,4.973,-61.069,-75.335
8.000,2.010,nan,7.306,-32.715,0.747,0.000,0.000,0.000,7.131,1.756,4.060,-4.478,61.112,-294.147,-46.117,189.125,4.827,753.803,-6044.689,0.000,299.717,-1606.532,637.063,-5020.845,-30.975,4.568,-56.101,-84.223
8.000,2.110,nan,7.118,-31.789,0.720,0.000,0.000,0.000,6.948,1.703,4.080,-4.466,59.491,-283.149,-44.963,184.512,4.315,729.890,-5846.151,0.000,302.217,-1616.353,610.122,-4778.061,-28.342,4.154,-51.017,-91.381
8.000,2.210,nan,6.927,-30.900,0.695,0.000,0.000,0.000,6.763,1.652,4.094,-4.461,57.916,-272.813,-43.760,179.887,3.866,707.432,-5665.947,0.000,304.668,-1625.984,584.876,-4558.805,-26.068,3.789,-46.540,-97.096
8.000,2.310,nan,6.752,-30.066,0.671,0.000,0.000,0.000,6.593,1.604,4.110,-4.453,56.523,-263.819,-42.645,175.421,3.443,688.642,-5519.758,0.000,307.077,-1635.446,561.031,-4349.224,-24.581,3.475,-42.684,-101.652
8.000,2.410,nan,6.594,-29.302,0.649,0.000,0.000,0.000,6.439,1.561,4.126,-4.444,55.389,-256.174,-41.639,171.259,3.084,672.449,-5398.670,0.000,309.447,-1644.758,539.757,-4162.232,-23.315,3.205,-39.367,-105.347
8.000,2.510,nan,6.448,-28.587,0.629,0.000,0.000,0.000,6.298,1.520,4.144,-4.433,54.371,-249.263,-40.714,167.291,2.779,658.282,-5296.578,0.000,311.782,-1653.932,522.156,-4013.982,-21.704,2.971,-36.491,-108.274
8.000,2.610,nan,6.316,-27.922,0.610,0.000,0.000,0.000,6.170,1.483,4.159,-4.421,53.642,-243.544,-39.876,163.557,2.527,649.687,-5249.452,0.000,315.959,-1670.341,506.008,-3882.084,-20.351,2.757,-33.864,-109.502
8.000,2.710,nan,6.201,-27.314,0.593,0.000,0.000,0.000,6.058,1.451,4.176,-4.405,53.196,-238.957,-39.161,160.140,2.313,645.480,-5247.664,0.000,321.766,-1693.154,489.579,-3742.564,-19.216,2.573,-31.604,-110.497
8.000,2.810,nan,6.098,-26.754,0.578,0.000,0.000,0.000,5.958,1.421,4.194,-4.388,52.678,-234.490,-38.524,156.967,2.126,644.710,-5285.439,0.000,327.546,-1715.863,475.419,-3627.046,-18.378,2.401,-29.487,-111.161
8.000,2.910,nan,6.007,-26.241,0.563,0.000,0.000,0.000,5.870,1.393,4.212,-4.369,52.158,-230.286,-37.967,154.019,1.968,642.110,-5301.167,0.000,332.409,-1734.967,463.149,-3526.897,-17.611,2.248,-27.606,-111.655
8.000,3.010,nan,5.931,-25.792,0.550,0.000,0.000,0.000,5.797,1.370,4.230,-4.348,51.588,-226.276,-37.513,151.379,1.847,637.797,-5298.778,0.000,335.654,-1747.717,454.368,-3458.563,-16.955,2.111,-25.921,-111.914
8.000,3.110,nan,5.867,-25.393,0.543,0.000,0.000,0.000,5.734,1.354,4.235,-4.328,51.098,-222.776,-37.147,149.095,1.833,633.688,-5297.753,0.000,338.877,-1760.380,446.307,-3394.389,-16.319,1.986,-24.389,-111.289
8.000,3.210,nan,4.703,-22.155,0.524,0.000,0.000,0.000,4.584,1.173,3.908,-4.711,41.096,-187.557,-30.379,132.143,1.887,555.383,-5067.126,0.000,341.586,-1771.021,373.837,-3160.495,-9.845,1.120,-13.757,-85.973
8.000,3.310,nan,4.648,-21.730,0.509,0.000,0.000,0.000,4.532,1.151,3.939,-4.675,40.618,-184.325,-29.920,129.045,1.838,552.026,-5042.616,0.000,341.178,-1769.420,371.780,-3150.108,-9.787,1.098,-13.480,-84.933
8.000,3.410,nan,4.596,-21.332,0.493,0.000,0.000,0.000,4.482,1.128,3.973,-4.642,40.150,-181.245,-29.491,126.146,1.793,548.503,-5015.817,0.000,340.753,-1767.749,369.826,-3140.371,-9.718,1.076,-13.211,-83.911
