XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.200,0.000,0.010,-25.000,nan,5.533,-65.555,3.117,0.000,0.000,0.000,5.533,3.117,1.775,-11.849,42.712,-141.304,-52.198,253.720,0.000,340.504,-954.137,-5.706,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-120.858
2.200,0.000,0.010,-24.000,nan,5.493,-65.089,3.008,0.000,0.000,0.000,5.493,3.008,1.826,-11.849,44.035,-156.978,-52.198,253.720,0.000,340.414,-953.067,-5.481,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-147.545
2.200,0.000,0.010,-23.000,nan,5.430,-64.339,2.894,0.000,0.000,0.000,5.430,2.894,1.877,-11.849,44.662,-164.403,-52.198,253.720,0.000,341.415,-964.921,-4.878,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-168.344
2.200,0.000,0.010,-22.000,nan,5.360,-63.513,2.781,0.000,0.000,0.000,5.360,2.781,1.928,-11.849,44.722,-165.119,-52.198,253.720,0.000,342.828,-981.669,-4.177,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-182.314
2.200,0.000,0.010,-21.000,nan,5.281,-62.579,2.668,0.000,0.000,0.000,5.281,2.668,1.979,-11.849,45.041,-168.895,-52.198,253.720,0.000,344.980,-1007.167,-3.294,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-190.878
2.200,0.000,0.010,-20.000,nan,5.181,-61.392,2.553,0.000,0.000,0.000,5.181,2.553,2.029,-11.849,45.785,-177.716,-52.198,253.720,0.000,348.549,-1049.453,-2.063,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-196.031
2.200,0.000,0.010,-19.000,nan,5.056,-59.903,2.435,0.000,0.000,0.000,5.056,2.435,2.076,-11.849,46.580,-187.135,-52.198,253.720,0.000,353.626,-1109.609,-0.525,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-199.831
2.200,0.000,0.010,-18.000,nan,4.909,-58.160,2.317,0.000,0.000,0.000,4.909,2.317,2.119,-11.849,47.216,-194.667,-52.198,253.720,0.000,359.870,-1183.589,1.161,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-203.268
2.200,0.000,0.010,-17.000,nan,4.743,-56.201,2.199,0.000,0.000,0.000,4.743,2.199,2.157,-11.849,47.763,-201.143,-52.198,253.720,0.000,366.983,-1267.871,2.867,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-205.108
2.200,0.000,0.010,-16.000,nan,4.560,-54.026,2.083,0.000,0.000,0.000,4.560,2.083,2.189,-11.849,48.315,-207.690,-52.198,253.720,0.000,374.835,-1360.914,4.527,210.799,-1124.716,650.216,-4623.831,0.000,0.000,0.000,-203.868
