XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.100,-2.000,0.010,-25.000,nan,3.971,-61.456,3.078,0.000,0.000,0.000,4.076,2.938,1.387,-15.477,46.112,-175.463,-52.688,272.428,0.958,358.437,-1130.665,-4.346,215.088,-1183.292,697.705,-4948.581,1.148,-1.801,21.934,-132.116
2.100,-2.000,0.010,-24.000,nan,3.908,-60.693,2.963,0.000,0.000,0.000,4.009,2.825,1.419,-15.530,46.554,-180.840,-52.688,272.428,0.981,359.490,-1143.495,-3.767,215.088,-1183.292,697.705,-4948.581,0.574,-1.801,21.934,-155.007
2.100,-2.000,0.010,-23.000,nan,3.840,-59.868,2.849,0.000,0.000,0.000,3.938,2.713,1.451,-15.589,46.602,-181.425,-52.688,272.428,0.977,360.764,-1159.000,-3.150,215.088,-1183.292,697.705,-4948.581,0.565,-1.801,21.934,-170.678
2.100,-2.000,0.010,-22.000,nan,3.761,-58.904,2.735,0.000,0.000,0.000,3.854,2.602,1.481,-15.661,46.987,-186.111,-52.688,272.428,1.028,362.767,-1183.398,-2.339,215.088,-1183.292,697.705,-4948.581,-0.554,-1.801,21.934,-180.377
2.100,-2.000,0.010,-21.000,nan,3.659,-57.659,2.618,0.000,0.000,0.000,3.748,2.488,1.506,-15.758,47.731,-195.174,-52.688,272.428,1.108,366.260,-1225.922,-1.129,215.088,-1183.292,697.705,-4948.581,-2.237,-1.801,21.934,-186.096
2.100,-2.000,0.010,-20.000,nan,3.532,-56.111,2.497,0.000,0.000,0.000,3.617,2.372,1.525,-15.887,48.439,-203.798,-52.688,272.428,1.158,371.313,-1287.449,0.430,215.088,-1183.292,697.705,-4948.581,-3.343,-1.801,21.934,-189.890
2.100,-2.000,0.010,-19.000,nan,3.384,-54.312,2.376,0.000,0.000,0.000,3.465,2.257,1.536,-16.049,49.005,-210.684,-52.688,272.428,1.178,377.579,-1363.752,2.166,215.088,-1183.292,697.705,-4948.581,-3.804,-1.801,21.934,-193.154
2.100,-2.000,0.010,-18.000,nan,3.218,-52.291,2.256,0.000,0.000,0.000,3.295,2.142,1.538,-16.248,49.518,-216.934,-52.688,272.428,1.184,384.798,-1451.655,3.957,215.088,-1183.292,697.705,-4948.581,-3.926,-1.801,21.934,-195.002
2.100,-2.000,0.010,-17.000,nan,3.034,-50.049,2.137,0.000,0.000,0.000,3.107,2.030,1.531,-16.496,50.041,-223.295,-52.688,272.428,1.177,392.831,-1549.467,5.726,215.088,-1183.292,697.705,-4948.581,-3.772,-1.801,21.934,-193.600
2.100,-2.000,0.010,-16.000,nan,2.832,-47.586,2.020,0.000,0.000,0.000,2.901,1.920,1.510,-16.804,50.548,-229.470,-52.688,272.428,1.153,401.588,-1656.103,7.418,215.088,-1183.292,697.705,-4948.581,-3.248,-1.801,21.934,-188.890
2.100,-2.000,0.010,-15.000,nan,2.613,-44.925,1.907,0.000,0.000,0.000,2.678,1.815,1.476,-17.191,51.000,-234.969,-52.688,272.428,1.111,411.087,-1771.767,9.007,215.088,-1183.292,697.705,-4948.581,-2.316,-1.801,21.934,-180.993
2.100,-2.000,0.010,-14.000,nan,2.380,-42.083,1.798,0.000,0.000,0.000,2.441,1.714,1.424,-17.683,51.408,-239.940,-52.688,272.428,1.054,421.373,-1897.016,10.472,215.088,-1183.292,697.705,-4948.581,-0.678,-1.801,21.934,-170.300
2.100,-2.000,0.010,-13.000,nan,2.132,-39.059,1.694,0.000,0.000,0.000,2.189,1.618,1.353,-18.324,51.834,-245.125,-52.688,272.428,0.940,432.577,-2033.436,11.806,215.088,-1183.292,697.705,-4948.581,1.448,-1.801,21.934,-154.910
2.100,-2.000,0.010,-12.000,nan,1.868,-35.848,1.595,0.000,0.000,0.000,1.922,1.529,1.258,-19.192,52.281,-250.559,-52.688,272.428,0.816,444.853,-2182.915,12.998,215.088,-1183.292,697.705,-4948.581,3.741,-1.801,21.934,-135.665
2.100,-2.000,0.010,-11.000,nan,1.590,-32.463,1.502,0.000,0.000,0.000,1.641,1.445,1.136,-20.419,52.676,-255.373,-52.688,272.428,0.729,458.227,-2345.768,14.006,215.088,-1183.292,697.705,-4948.581,6.089,-1.801,21.934,-114.293
2.100,-2.000,0.010,-10.000,nan,1.300,-28.934,1.415,0.000,0.000,0.000,1.349,1.369,0.985,-22.257,52.992,-259.217,-52.688,272.428,0.481,472.620,-2521.027,14.775,215.088,-1183.292,697.705,-4948.581,11.268,-1.801,21.934,-91.726
2.100,-2.000,0.010,-9.000,nan,1.001,-25.294,1.336,0.000,0.000,0.000,1.047,1.301,0.805,-25.267,53.224,-262.034,-52.688,272.428,0.406,487.943,-2707.608,15.251,215.088,-1183.292,697.705,-4948.581,15.025,-1.801,21.934,-71.844
2.100,-2.000,0.010,-8.000,nan,0.696,-21.578,1.266,0.000,0.000,0.000,0.740,1.241,0.596,-31.007,53.366,-263.766,-52.688,272.428,0.140,504.097,-2904.312,15.384,215.088,-1183.292,697.705,-4948.581,19.065,-1.801,21.934,-54.158
2.100,-2.000,0.010,-7.000,nan,0.387,-17.816,1.204,0.000,0.000,0.000,0.429,1.189,0.360,-46.045,53.447,-264.744,-52.688,272.428,0.026,521.098,-3111.320,15.142,215.088,-1183.292,697.705,-4948.581,21.058,-1.801,21.934,-39.737
2.100,-2.000,0.010,-6.000,nan,0.075,-14.012,1.150,0.000,0.000,0.000,0.115,1.147,0.100,-188.049,53.531,-265.763,-52.688,272.428,0.043,539.368,-3333.784,14.528,215.088,-1183.292,697.705,-4948.581,21.051,-1.801,21.934,-28.459
2.100,-2.000,0.010,-5.000,nan,-0.241,-10.166,1.106,0.000,0.000,0.000,-0.203,1.114,-0.182,42.127,53.620,-266.844,-52.688,272.428,0.079,559.419,-3577.944,13.524,215.088,-1183.292,697.705,-4948.581,20.411,-1.801,21.934,-20.432
2.100,-2.000,0.010,-4.000,nan,-0.560,-6.284,1.070,0.000,0.000,0.000,-0.522,1.089,-0.480,11.220,53.696,-267.767,-52.688,272.428,0.111,581.742,-3849.762,12.082,215.088,-1183.292,697.705,-4948.581,19.916,-1.801,21.934,-17.541
2.100,-2.000,0.010,-3.000,nan,-0.881,-2.375,1.044,0.000,0.000,0.000,-0.844,1.074,-0.786,2.696,53.755,-268.483,-52.688,272.428,0.095,606.769,-4154.497,10.124,215.088,-1183.292,697.705,-4948.581,19.957,-1.801,21.934,-17.294
2.100,-2.000,0.010,-2.000,nan,-1.204,1.553,1.026,0.000,0.000,0.000,-1.167,1.068,-1.093,-1.290,53.797,-268.992,-52.688,272.428,0.081,633.877,-4484.588,7.518,215.088,-1183.292,697.705,-4948.581,20.356,-1.801,21.934,-18.766
2.100,-2.000,0.010,-1.000,nan,-1.527,5.490,1.018,0.000,0.000,0.000,-1.491,1.071,-1.392,-3.595,53.822,-269.294,-52.688,272.428,0.054,661.372,-4819.386,4.149,215.088,-1183.292,697.705,-4948.581,20.855,-1.801,21.934,-19.131
2.100,-2.000,0.010,0.000,nan,-1.851,9.429,1.019,0.000,0.000,0.000,-1.814,1.083,-1.675,-5.095,53.830,-269.390,-52.688,272.428,0.098,687.505,-5137.596,0.000,215.088,-1183.292,697.705,-4948.581,20.096,-1.801,21.934,-18.699
2.100,-2.000,0.010,1.000,nan,-2.173,13.360,1.029,0.000,0.000,0.000,-2.136,1.104,-1.935,-6.147,53.821,-269.278,-52.688,272.428,0.101,710.528,-5417.931,-4.849,215.088,-1183.292,697.705,-4948.581,19.926,-1.801,21.934,-17.183
2.100,-2.000,0.010,2.000,nan,-2.495,17.275,1.048,0.000,0.000,0.000,-2.457,1.134,-2.166,-6.924,53.795,-268.959,-52.688,272.428,0.081,729.082,-5643.853,-10.229,215.088,-1183.292,697.705,-4948.581,20.142,-1.801,21.934,-17.436
2.100,-2.000,0.010,3.000,nan,-2.814,21.165,1.076,0.000,0.000,0.000,-2.775,1.174,-2.364,-7.520,53.752,-268.429,-52.688,272.428,0.076,743.672,-5821.518,-15.975,215.088,-1183.292,697.705,-4948.581,20.563,-1.801,21.934,-20.402
2.100,-2.000,0.010,4.000,nan,-3.131,25.022,1.113,0.000,0.000,0.000,-3.090,1.222,-2.529,-7.991,53.693,-267.711,-52.688,272.428,0.035,755.370,-5963.960,-21.983,215.088,-1183.292,697.705,-4948.581,21.383,-1.801,21.934,-28.425
2.100,-2.000,0.010,5.000,nan,-3.445,28.842,1.160,0.000,0.000,0.000,-3.402,1.279,-2.660,-8.373,53.636,-267.019,-52.688,272.428,0.128,765.269,-6084.493,-28.210,215.088,-1183.292,697.705,-4948.581,20.267,-1.801,21.934,-39.800
2.100,-2.000,0.010,6.000,nan,-3.756,32.626,1.215,0.000,0.000,0.000,-3.711,1.345,-2.759,-8.687,53.586,-266.406,-52.688,272.428,0.145,774.457,-6196.365,-34.677,215.088,-1183.292,697.705,-4948.581,18.728,-1.801,21.934,-54.293
2.100,-2.000,0.010,7.000,nan,-4.062,36.360,1.278,0.000,0.000,0.000,-4.015,1.419,-2.829,-8.951,53.489,-265.217,-52.688,272.428,0.435,783.252,-6303.465,-41.391,215.088,-1183.292,697.705,-4948.581,12.568,-1.801,21.934,-72.094
2.100,-2.000,0.010,8.000,nan,-4.362,40.009,1.350,0.000,0.000,0.000,-4.312,1.501,-2.872,-9.172,53.301,-262.932,-52.688,272.428,0.508,790.929,-6396.943,-48.256,215.088,-1183.292,697.705,-4948.581,9.284,-1.801,21.934,-92.135
2.100,-2.000,0.010,9.000,nan,-4.652,43.540,1.429,0.000,0.000,0.000,-4.599,1.591,-2.891,-9.360,53.027,-259.586,-52.688,272.428,0.766,796.898,-6469.625,-55.154,215.088,-1183.292,697.705,-4948.581,5.284,-1.801,21.934,-114.834
2.100,-2.000,0.010,10.000,nan,-4.929,46.920,1.516,0.000,0.000,0.000,-4.874,1.687,-2.890,-9.518,52.670,-255.245,-52.688,272.428,0.898,801.178,-6521.744,-62.018,215.088,-1183.292,697.705,-4948.581,2.615,-1.801,21.934,-136.380
2.100,-2.000,0.010,11.000,nan,-5.192,50.119,1.608,0.000,0.000,0.000,-5.133,1.788,-2.871,-9.653,52.249,-250.110,-52.688,272.428,0.970,803.891,-6554.778,-68.798,215.088,-1183.292,697.705,-4948.581,0.731,-1.801,21.934,-155.706
2.100,-2.000,0.010,12.000,nan,-5.440,53.136,1.706,0.000,0.000,0.000,-5.377,1.895,-2.838,-9.768,51.839,-245.111,-52.688,272.428,1.083,805.099,-6569.490,-75.440,215.088,-1183.292,697.705,-4948.581,-1.701,-1.801,21.934,-171.241
