XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.100,2.000,0.010,-25.000,nan,7.048,-72.719,3.134,0.000,0.000,0.000,6.935,3.378,2.053,-10.317,46.462,-150.693,-52.320,271.005,-0.467,421.625,-1295.311,-6.066,219.316,-1181.265,684.987,-4950.608,-11.969,1.801,-21.934,-73.833
2.100,2.000,0.010,-24.000,nan,7.060,-72.863,3.043,0.000,0.000,0.000,6.950,3.287,2.114,-10.320,48.201,-171.874,-52.320,271.005,-0.755,419.011,-1263.479,-6.740,219.316,-1181.265,684.987,-4950.608,-5.627,1.801,-21.934,-103.851
2.100,2.000,0.010,-23.000,nan,7.025,-72.432,2.936,0.000,0.000,0.000,6.918,3.180,2.176,-10.311,49.376,-186.177,-52.320,271.005,-0.931,418.595,-1258.411,-6.570,219.316,-1181.265,684.987,-4950.608,-1.756,1.801,-21.934,-132.383
2.100,2.000,0.010,-22.000,nan,6.961,-71.663,2.823,0.000,0.000,0.000,6.859,3.065,2.238,-10.294,49.972,-193.439,-52.320,271.005,-0.994,419.597,-1270.608,-5.924,219.316,-1181.265,684.987,-4950.608,-0.353,1.801,-21.934,-155.707
2.100,2.000,0.010,-21.000,nan,6.889,-70.785,2.711,0.000,0.000,0.000,6.791,2.950,2.302,-10.274,50.042,-194.291,-52.320,271.005,-0.981,421.265,-1290.925,-5.106,219.316,-1181.265,684.987,-4950.608,-0.484,1.801,-21.934,-171.672
2.100,2.000,0.010,-20.000,nan,6.810,-69.822,2.600,0.000,0.000,0.000,6.715,2.836,2.368,-10.252,50.254,-196.865,-52.320,271.005,-1.012,423.649,-1319.951,-4.134,219.316,-1181.265,684.987,-4950.608,0.200,1.801,-21.934,-181.530
2.100,2.000,0.010,-19.000,nan,6.712,-68.624,2.487,0.000,0.000,0.000,6.621,2.720,2.434,-10.224,50.829,-203.871,-52.320,271.005,-1.090,427.272,-1364.063,-2.893,219.316,-1181.265,684.987,-4950.608,1.844,1.801,-21.934,-187.308
2.100,2.000,0.010,-18.000,nan,6.588,-67.112,2.372,0.000,0.000,0.000,6.501,2.600,2.500,-10.187,51.499,-212.036,-52.320,271.005,-1.153,432.327,-1425.614,-1.391,219.316,-1181.265,684.987,-4950.608,3.232,1.801,-21.934,-191.096
2.100,2.000,0.010,-17.000,nan,6.441,-65.328,2.256,0.000,0.000,0.000,6.359,2.479,2.565,-10.142,52.038,-218.594,-52.320,271.005,-1.183,438.496,-1500.739,0.229,219.316,-1181.265,684.987,-4950.608,3.905,1.801,-21.934,-194.336
2.100,2.000,0.010,-16.000,nan,6.276,-63.318,2.140,0.000,0.000,0.000,6.198,2.358,2.628,-10.089,52.485,-224.045,-52.320,271.005,-1.193,445.456,-1585.484,1.842,219.316,-1181.265,684.987,-4950.608,4.119,1.801,-21.934,-196.169
2.100,2.000,0.010,-15.000,nan,6.093,-61.087,2.027,0.000,0.000,0.000,6.019,2.238,2.689,-10.026,52.934,-229.514,-52.320,271.005,-1.190,453.165,-1679.348,3.406,219.316,-1181.265,684.987,-4950.608,4.063,1.801,-21.934,-194.749
2.100,2.000,0.010,-14.000,nan,5.892,-58.636,1.916,0.000,0.000,0.000,5.821,2.121,2.745,-9.952,53.381,-234.960,-52.320,271.005,-1.173,461.743,-1783.800,4.913,219.316,-1181.265,684.987,-4950.608,3.675,1.801,-21.934,-189.968
2.100,2.000,0.010,-13.000,nan,5.673,-55.978,1.809,0.000,0.000,0.000,5.607,2.006,2.795,-9.867,53.783,-239.857,-52.320,271.005,-1.136,471.256,-1899.640,6.341,219.316,-1181.265,684.987,-4950.608,2.872,1.801,-21.934,-181.989
2.100,2.000,0.010,-12.000,nan,5.440,-53.136,1.706,0.000,0.000,0.000,5.377,1.895,2.838,-9.768,54.134,-244.131,-52.320,271.005,-1.083,481.741,-2027.307,7.655,219.316,-1181.265,684.987,-4950.608,1.701,1.801,-21.934,-171.241
2.100,2.000,0.010,-11.000,nan,5.192,-50.119,1.608,0.000,0.000,0.000,5.133,1.788,2.871,-9.653,54.483,-248.383,-52.320,271.005,-0.970,493.282,-2167.836,8.830,219.316,-1181.265,684.987,-4950.608,-0.731,1.801,-21.934,-155.706
2.100,2.000,0.010,-10.000,nan,4.929,-46.920,1.516,0.000,0.000,0.000,4.874,1.687,2.890,-9.518,54.854,-252.900,-52.320,271.005,-0.898,505.973,-2322.369,9.835,219.316,-1181.265,684.987,-4950.608,-2.615,1.801,-21.934,-136.380
2.100,2.000,0.010,-9.000,nan,4.652,-43.540,1.429,0.000,0.000,0.000,4.599,1.591,2.891,-9.360,55.204,-257.168,-52.320,271.005,-0.766,519.846,-2491.306,10.626,219.316,-1181.265,684.987,-4950.608,-5.284,1.801,-21.934,-114.834
2.100,2.000,0.010,-8.000,nan,4.362,-40.009,1.350,0.000,0.000,0.000,4.312,1.501,2.872,-9.172,55.483,-260.564,-52.320,271.005,-0.508,534.833,-2673.789,11.146,219.316,-1181.265,684.987,-4950.608,-9.284,1.801,-21.934,-92.135
2.100,2.000,0.010,-7.000,nan,4.062,-36.360,1.278,0.000,0.000,0.000,4.015,1.419,2.829,-8.951,55.687,-263.051,-52.320,271.005,-0.435,550.847,-2868.786,11.341,219.316,-1181.265,684.987,-4950.608,-12.568,1.801,-21.934,-72.094
2.100,2.000,0.010,-6.000,nan,3.756,-32.626,1.215,0.000,0.000,0.000,3.711,1.345,2.759,-8.687,55.811,-264.566,-52.320,271.005,-0.145,567.978,-3077.383,11.177,219.316,-1181.265,684.987,-4950.608,-18.728,1.801,-21.934,-54.293
2.100,2.000,0.010,-5.000,nan,3.445,-28.842,1.160,0.000,0.000,0.000,3.402,1.279,2.660,-8.373,55.862,-265.190,-52.320,271.005,-0.128,586.577,-3303.857,10.630,219.316,-1181.265,684.987,-4950.608,-20.267,1.801,-21.934,-39.800
2.100,2.000,0.010,-4.000,nan,3.131,-25.022,1.113,0.000,0.000,0.000,3.090,1.222,2.529,-7.991,55.902,-265.688,-52.320,271.005,-0.035,607.100,-3553.761,9.667,219.316,-1181.265,684.987,-4950.608,-21.383,1.801,-21.934,-28.425
2.100,2.000,0.010,-3.000,nan,2.814,-21.165,1.076,0.000,0.000,0.000,2.775,1.174,2.364,-7.520,55.949,-266.265,-52.320,271.005,-0.076,630.061,-3833.341,8.226,219.316,-1181.265,684.987,-4950.608,-20.563,1.801,-21.934,-20.402
2.100,2.000,0.010,-2.000,nan,2.495,-17.275,1.048,0.000,0.000,0.000,2.457,1.134,2.166,-6.924,55.990,-266.765,-52.320,271.005,-0.081,655.757,-4146.236,6.213,219.316,-1181.265,684.987,-4950.608,-20.141,1.801,-21.934,-17.435
2.100,2.000,0.010,-1.000,nan,2.173,-13.360,1.029,0.000,0.000,0.000,2.136,1.104,1.935,-6.147,56.015,-267.076,-52.320,271.005,-0.101,683.058,-4478.667,3.494,219.316,-1181.265,684.987,-4950.608,-19.925,1.801,-21.934,-17.183
